mgrb_entity_id,actor_type,source_actor_type,attempted,successfully_searched,query_method,query_value,executed_interface,online_api_status,gfw_vessel_id,gfw_identity_key,gfw_reported_name,gfw_reported_imo,gfw_reported_mmsi,gfw_reported_callsign,flag,vessel_class_or_type,first_available_date,last_available_date,match_status,match_confidence,resolution_status,match_scope,candidate_count,existing_census_source_ids,identifier_snowball_status,identifier_snowball_notes,discrepancy_notes
AMTI-MM-051,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520179,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-052,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520181,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-053,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520182,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-054,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520183,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-055,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520184,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-056,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520185,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-057,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520186,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-058,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520187,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-059,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520188,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-060,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520189,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-061,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520191,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-062,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520209,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-063,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520211,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-064,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520212,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-065,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520213,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-066,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520214,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-067,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520215,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-068,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520216,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-069,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520217,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-070,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520218,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-071,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520219,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-072,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,212520221,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-073,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520222,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-074,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520223,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-075,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520224,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-076,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520225,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-077,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520226,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-078,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520227,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-079,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520228,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-080,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520229,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-081,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520231,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-082,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520232,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-083,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520233,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-084,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520192,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-085,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520193,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-086,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520194,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-087,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520195,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-088,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520196,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-089,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520197,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-090,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520198,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-091,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520199,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-092,MARITIME_MILITIA,MILITIA;FISHING,YES,NO,NAME,Qiong Sanya Yu 72108,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NOT_TESTED,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,Strongest documented online query was prepared but not executed because the Vessel Search API returned HTTP 401 without an owner-supplied token; the public bulk archive cannot search this identifier type.
AMTI-MM-093,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524557,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,mmsi:412524557,,,412524557,,CHN,squid_jigger,2023-01-01,2024-12-31,EXACT_IDENTIFIER,1.0,IDENTITY_MATCH_NO_TRACK,GFW_FISHING_VESSELS_V3_BULK_ONLY,1,amti_hainan_militia,CHECKED_NO_MATERIALLY_NEW_SOURCE_LINK,Exact MMSI/name checked against the existing R3 crosswalk source-link inventory; the AMTI source link was already present and no new existing census repository link was established.,"Exact MMSI match in GFW Fishing vessels v3 bulk archive. The archive has annual identity/activity summaries, no GFW internal vessel ID and no positions. Online Vessel Search remained token-blocked."
AMTI-MM-094,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412523272,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-095,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412523671,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-096,MARITIME_MILITIA,MILITIA;FISHING,YES,NO,NAME,Qiong Sanya Yu 72125,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NOT_TESTED,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,Strongest documented online query was prepared but not executed because the Vessel Search API returned HTTP 401 without an owner-supplied token; the public bulk archive cannot search this identifier type.
AMTI-MM-097,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412523256,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-098,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524461,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-099,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524449,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,mmsi:412524449,,,412524449,,CHN,fishing,2020-01-01,2024-12-31,EXACT_IDENTIFIER,1.0,IDENTITY_MATCH_NO_TRACK,GFW_FISHING_VESSELS_V3_BULK_ONLY,1,amti_hainan_militia,CHECKED_NO_MATERIALLY_NEW_SOURCE_LINK,Exact MMSI/name checked against the existing R3 crosswalk source-link inventory; the AMTI source link was already present and no new existing census repository link was established.,"Exact MMSI match in GFW Fishing vessels v3 bulk archive. The archive has annual identity/activity summaries, no GFW internal vessel ID and no positions. Online Vessel Search remained token-blocked."
AMTI-MM-100,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524443,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,mmsi:412524443,,,412524443,,CHN,fishing,2023-01-01,2024-12-31,EXACT_IDENTIFIER,1.0,IDENTITY_MATCH_NO_TRACK,GFW_FISHING_VESSELS_V3_BULK_ONLY,1,amti_hainan_militia,CHECKED_NO_MATERIALLY_NEW_SOURCE_LINK,Exact MMSI/name checked against the existing R3 crosswalk source-link inventory; the AMTI source link was already present and no new existing census repository link was established.,"Exact MMSI match in GFW Fishing vessels v3 bulk archive. The archive has annual identity/activity summaries, no GFW internal vessel ID and no positions. Online Vessel Search remained token-blocked."
