source_id,provider,product,url,languages,actor_families,evidence_type,geographic_coverage,temporal_coverage,update_cadence_or_lag,identity_fields,spatial_density_or_resolution,temporal_resolution,coordinate_precision,processing_level,quality_flags,uncertainty_model,format,qgis_readiness,access_class,retrieval_test_id,license_or_terms,attribution_required,redistribution,commercial_use,recommended_citation,production_suitability,connector_priority,default_eligible,decision_reason,last_checked_utc
starboard,Starboard Maritime Intelligence,AIS and maritime intelligence platform,https://www.starboard.nz/,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK;EVENT;SATELLITE_IMAGE,Global,historical/current subscription,near-real-time,vessel identity and analyst products,subscription dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,platform/export/API by agreement,BYO-license only,COMMERCIAL,,commercial subscription,required,restricted,paid,cite provider/product,high,P3,NO,underlies AMTI/SeaLight; not redistributable,2026-08-25
spire_maritime,Spire,Maritime AIS API,https://spire.com/maritime/,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,Global,historical since 2011 advertised,live,MMSI/IMO/name,satellite+terrestrial product dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,API,BYO-license connector,COMMERCIAL,,commercial contract,required,contract-dependent/restricted,paid,cite provider/product,high,P3,NO,"optional enterprise connector, not canonical public source",2026-08-25
orbcomm_ais,ORBCOMM,Satellite AIS,https://www.orbcomm.com/en/solutions/maritime/ais,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,Global,historical/current,live,MMSI/IMO/name dependent,satellite AIS,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,feed/API,BYO-license connector,COMMERCIAL,,commercial contract,required,restricted,paid,cite provider/product,high,P3,NO,commercial source used downstream by monitoring systems,2026-08-25
skylight,Allen Institute for AI,Skylight maritime monitoring,https://support.skylight.global/,English,FISHING;MILITIA;OTHER,EVENT;SAR_DETECTION;AIS_GAP,Global eligible areas,about 18 months event history,near-real-time,event/vessel dependent,"events, imagery, vector tiles",provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,GraphQL JSON/vector tiles,partner connector possible,PARTNER_ONLY,,Skylight EULA; qualified users,required,EULA restricted,not a public commercial feed,cite provider/product,medium,P2,NO,"free for qualified agencies/NGOs, not an open reproducible default",2026-08-25
seavision,US DOT Volpe / partner agencies,SeaVision APIs,https://info.seavision.volpe.dot.gov/,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK;SAR_DETECTION,Global,account/source dependent,operational,vessel history endpoints,provider-dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,API,partner connector possible,PARTNER_ONLY,,SeaVision EULA and source permissions,required,source-dependent restricted,not established,cite provider/product,medium,P2,NO,documentation exists but access is role/agency gated,2026-08-25
aishub,AISHub,AIS data-sharing network,https://www.aishub.net/,English,OTHER;FISHING;RESEARCH,AIS_POSITION,Receiver network areas,current only,about once per minute,MMSI/name,receiver-dependent,current feed,provider-dependent,provider-dependent,documented by provider,not explicit,API/text,connector possible,CONTRIBUTOR_ONLY,,data-sharing agreement,required,agreement-dependent,agreement-dependent,cite provider/product,low,P3,NO,requires contributing receiver and offers no historical archive,2026-08-25
ships66,Ships66 / 船顺,Fleet historical-track API,https://developer.ships66.com/mapdoc/api/start.html,Simplified Chinese,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,Global/China strong,commercial product-dependent,live/history,MMSI/name; API search,commercial,product-dependent,AIS,commercial normalized feed,documented by provider,not explicit,compressed JSON API,BYO-license connector,COMMERCIAL,,commercial API key/contract,required,restricted,paid,cite provider/product,medium,P3,NO,documented track endpoint; user-supplied contract only and never scraped,2026-08-25
hifleet,HiFleet,Chinese AIS platform/API,https://www.hifleet.com/,Simplified Chinese;English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,Global/China strong,commercial,live,MMSI/IMO/name,provider-dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,platform/API,BYO-license only,COMMERCIAL,,commercial terms,required,restricted,paid,cite provider/product,medium,P3,NO,use for reference/licensed connector only; never scrape,2026-08-25
shipxy,ShipXY,Chinese vessel tracking platform,https://www.shipxy.com/,Simplified Chinese,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,Global/China strong,commercial,live,MMSI/IMO/name,provider-dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,platform/API,BYO-license only,COMMERCIAL,,commercial terms,required,restricted,paid,cite provider/product,medium,P3,NO,reference/licensed access only; never scrape,2026-08-25
chinaports_ais,ChinaPorts,AIS ship data/API,https://www.chinaports.com/,Simplified Chinese,OTHER;FISHING;RESEARCH,AIS_TRACK,China/Global,commercial,live,MMSI/IMO/name,provider-dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,platform/API,BYO-license only,COMMERCIAL,,commercial terms,required,restricted,paid,cite provider/product,low,P3,NO,commercial reference; terms/access need procurement,2026-08-25
vesselfinder,VesselFinder,AIS map and data services,https://www.vesselfinder.com/,English,OTHER;FISHING;RESEARCH,AIS_POSITION,Global,current/history by product,live,MMSI/IMO/name,provider-dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,web/API,licensed only,COMMERCIAL,,site/commercial terms,required,restricted,paid,cite provider/product,low,P3,NO,reference identity checks only unless separately licensed,2026-08-25
fleetmon,FleetMon,AIS tracking/data services,https://www.fleetmon.com/,English,OTHER;FISHING;RESEARCH,AIS_TRACK,Global,commercial,live,MMSI/IMO/name,provider-dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,web/API,licensed only,COMMERCIAL,,commercial terms,required,restricted,paid,cite provider/product,low,P3,NO,reference/licensed only,2026-08-25
isa_contract_areas,International Seabed Authority,Exploration contract areas and contractors,https://www.isa.org.jm/exploration-contracts/,English,RESEARCH;OTHER,CONTEXT_GEOMETRY,Global deep seabed,current/versioned documents,administrative updates,contractor/state/product,"area polygons, not vessel positions",provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,maps/GIS dependent,context connector,OPEN_DIRECT,,ISA terms,required,review ISA terms,review,cite provider/product,medium,P1,NO,"essential context for DSM tracks, but not track evidence",2026-08-25
wcpfc_vessel_registry,Western and Central Pacific Fisheries Commission,Record of Fishing Vessels,https://vessels.wcpfc.int/index.php/browse-rfv,English,FISHING;RESEARCH,VESSEL_IDENTITY;AUTHORIZATION,Western Pacific;Global,current and authorization periods,ongoing,name; flag; registration; IRCS; WIN; VID; vessel type,"registry records, no positions",authorization periods,no geometry,RFMO authorization registry,documented by provider,not explicit,web/CSV export,tabular identity join,OPEN_DIRECT,,WCPFC terms/attribution,required,terms review before snapshot redistribution,review,cite provider/product,high,P1,NO,high-value Chinese fishing/research identity crosswalk; R3 did not retrieve/profile full export,2026-08-25
iotc_vessel_data,Indian Ocean Tuna Commission,Authorized/active vessel and reference datasets,https://iotc.org/data/reporting-data-iotc,English,FISHING,VESSEL_IDENTITY;AUTHORIZATION;AGGREGATE_ACTIVITY,Indian Ocean,current/historical dataset-dependent,ongoing,authorized vessel fields,"registry/aggregate, no public track positions",authorization/reporting periods,reference geographies only,RFMO reported data,documented by provider,not explicit,CSV/GPKG/SHP/Zenodo/R,direct for spatial reference; identity join,OPEN_DIRECT,,IOTC/FAO data terms,required,dataset-specific terms,review,cite provider/product,medium,P1,NO,"open machine-readable identity/context, not VMS or AIS tracks",2026-08-25
sprfmo_registry_activity,South Pacific RFMO,Record of Vessels and aggregate fishing activity,https://sprfmo.org/data-sets,English,FISHING;RESEARCH,VESSEL_IDENTITY;AUTHORIZATION;AGGREGATE_ACTIVITY,Western Pacific;Global,current/historical,ongoing/quarterly,authorized vessel registry fields,registry plus quarterly 5-degree aggregate catch/effort,authorization/quarter,5-degree activity grid,RFMO reported/aggregated,documented by provider,not explicit,CSV/XLSX,direct tabular/grid load,OPEN_DIRECT,,SPRFMO data terms,required,terms review,review,cite provider/product,medium,P1,NO,"useful distant-water fleet identity/aggregate context, not individual positions",2026-08-25
mtad_synthetic,Academic authors,MTAD maritime trajectory association dataset,https://github.com/gy65896/MTAD,English,OTHER,SYNTHETIC_TRACK;MODEL_DATA,Global synthetic,synthetic,varies,synthetic,million-scale synthetic/noisy trajectories,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,research files,benchmark only,OPEN_DIRECT,,repository terms,required,license review,license review,cite provider/product,none,REJECT,NO,not observed Chinese maritime evidence,2026-08-25
marinecadastre_ais,US BOEM/NOAA MarineCadastre.gov,US AIS data,https://marinecadastre.gov/ais/,English,OTHER,AIS_TRACK,United States waters,2009-present annual,annual,MMSI and AIS fields,high-density US terrestrial AIS,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,file geodatabase/CSV,direct/conversion,OPEN_DIRECT,,US government data terms,required,per US terms,per US terms,cite provider/product,none,REJECT,NO,excellent connector benchmark but wrong geography for this mission,2026-08-25
dma_danish_ais,Danish Maritime Authority,Historical AIS,https://dma.dk/safety-at-sea/navigational-information/ais-data,English,OTHER,AIS_TRACK,Danish waters,historical-current,monthly,AIS fields,high-density terrestrial AIS,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,CSV,direct,OPEN_DIRECT,,Danish open-data terms,required,open terms,open terms,cite provider/product,none,REJECT,NO,wrong geography; useful only as connector test fixture,2026-08-25
gfw_vessel_search_ui,Global Fishing Watch,Vessel Search basic interactive view,https://globalfishingwatch.org/platform/vessel-search,English,FISHING;OTHER,VESSEL_IDENTITY,Global,current API window; historical varies,about 5-day lag,dataset-dependent; public presence is aggregated,one AIS position/hour/vessel before aggregation,configurable aggregation,grid/API dependent,AIS normalized and aggregated,documented by provider,not explicit,JSON/tiles,connector required,OPEN_INTERACTIVE_VIEW,,GFW service and dataset-specific terms; reuse grant not inferred,required,dataset-specific; not established by UI availability,not established,cite provider/product,high,P2,NO,interactive browser view; actual workspace failed,2026-08-25
gfw_vessel_search_api,Global Fishing Watch,API v3 vessel identity search,https://globalfishingwatch.org/our-apis/documentation/docs/v3/vessels/search,English,FISHING;OTHER,VESSEL_IDENTITY,Global,current API window; historical varies,about 5-day lag,dataset-dependent; public presence is aggregated,one AIS position/hour/vessel before aggregation,configurable aggregation,grid/API dependent,AIS normalized and aggregated,documented by provider,not explicit,JSON/tiles,connector required,ACCOUNT_REQUIRED,RT-GFW-VESSEL-SEARCH-ANON-401,GFW API terms; CC BY-NC 4.0,required,dataset-specific; downstream attribution must persist,not allowed without separate permission,cite provider/product,high,P1,NO,structured identity search; token required and anonymous test returned 401,2026-08-25
gfw_individual_track_ui,Global Fishing Watch,Interactive individual vessel track display,https://globalfishingwatch.org/user-guide/,English,FISHING;OTHER,INDIVIDUAL_TRACK_DISPLAY,Global,current API window; historical varies,about 5-day lag,dataset-dependent; public presence is aggregated,one AIS position/hour/vessel before aggregation,configurable aggregation,grid/API dependent,AIS normalized and aggregated,documented by provider,not explicit,JSON/tiles,connector required,OPEN_INTERACTIVE_VIEW,,GFW service and dataset-specific terms; reuse grant not inferred,required,not established by visibility,not established,cite provider/product,high,P2,NO,documented display; actual vessel selection not reached,2026-08-25
gfw_individual_track_export,Global Fishing Watch,Interactive individual vessel track CSV/GeoJSON export,https://globalfishingwatch.org/user-guide/,English,FISHING;OTHER,INDIVIDUAL_TRACK_EXPORT,Global,current API window; historical varies,about 5-day lag,dataset-dependent; public presence is aggregated,one AIS position/hour/vessel before aggregation,configurable aggregation,grid/API dependent,AIS normalized and aggregated,documented by provider,not explicit,JSON/tiles,connector required,ACCOUNT_REQUIRED,,GFW service and dataset-specific terms; reuse grant not inferred,required,dataset-specific; not implied by download capability,not established; API terms are noncommercial,cite provider/product,high,P1,NO,documented account-gated export; no authenticated retrieval in R3C,2026-08-25
gfw_viirs_related,Global Fishing Watch,VIIRS/night-light related detections,https://globalfishingwatch.org/our-apis/documentation/docs/v3,English,FISHING;MILITIA;OTHER,VIIRS_DETECTION,Global,Sentinel-1 era to present,about 5-day lag,matched AIS where available; otherwise none,Sentinel-1 scene detections,scene time,detection centroid,machine-learning detections,documented by provider,matching/detection confidence,API/tiles,connector required,ACCOUNT_REQUIRED,,GFW API terms; CC BY-NC 4.0,required,dataset-specific,not allowed without permission for API use,cite provider/product,medium,P2,NO,detection product; not an individual-track interface,2026-08-25
dsm_watch_vessel_event_access,Global Fishing Watch / Benioff Ocean Science Laboratory,Deep-Sea Mining Watch vessel search and event export,https://globalfishingwatch.org/platform/map/fishing-activity/deep-sea-mining-public,English,RESEARCH;OTHER,VESSEL_IDENTITY;EVENT_EXPORT,Global deep-sea mining areas,2012-present described,ongoing,55 exploration vessels; names and activity,viewer tracks/activities,activity periods,viewer dependent,AIS-derived classifications,documented by provider,not explicit,interactive map,future API/export connector,ACCOUNT_REQUIRED,RT-DSMW-ANON-UI,GFW service and dataset-specific terms; reuse grant not inferred,required,not established,not established,cite provider/product,medium,P2,NO,actual UI denied vessel search and required login for event downloads,2026-08-25
